2021-01-11 13:05:06	14.54,53.36,15.80,61.00,14.70,61.20,14.50,12.67,16.51,12.84,345,3
2021-01-11 13:05:22	14.54,53.03,15.90,61.00,14.70,61.40,14.50,12.67,16.51,12.84,347,3
2021-01-11 13:05:38	14.54,52.56,15.80,60.00,14.80,61.40,14.50,12.67,16.04,12.84,351,3
2021-01-11 13:05:54	14.53,52.62,15.90,60.00,14.80,61.20,14.50,12.67,16.04,12.84,353,3
2021-01-11 13:06:10	14.54,52.60,15.90,60.00,14.70,61.20,14.50,12.67,16.51,12.84,357,3
2021-01-11 13:06:26	14.54,52.80,15.90,60.00,14.80,61.30,14.50,12.67,16.51,12.84,360,3
2021-01-11 13:06:42	14.54,53.13,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,361,3
2021-01-11 13:06:58	14.55,52.87,15.90,60.00,14.80,61.40,14.50,12.67,16.51,12.84,362,3
2021-01-11 13:07:14	14.55,52.69,15.90,61.00,14.80,61.30,14.50,12.67,16.04,12.84,362,3
2021-01-11 13:07:30	14.54,53.09,15.90,60.00,14.70,61.20,14.50,12.67,16.04,12.84,361,3
2021-01-11 13:07:46	14.55,52.69,15.90,60.00,14.70,61.20,14.50,12.67,16.51,12.84,360,3
2021-01-11 13:08:02	14.55,53.07,15.90,60.00,14.70,61.30,14.50,12.67,16.04,12.84,358,3
2021-01-11 13:08:18	14.54,53.03,15.90,60.00,14.70,61.20,14.50,12.67,16.04,12.84,355,3
2021-01-11 13:08:33	14.55,53.07,15.90,60.00,14.80,61.10,14.50,12.67,16.04,12.84,351,3
2021-01-11 13:08:49	14.55,52.87,15.90,60.00,14.70,61.20,14.56,12.67,16.04,12.74,348,3
2021-01-11 13:09:05	14.55,53.58,15.90,60.00,14.70,61.20,14.50,12.67,16.51,12.84,345,3
2021-01-11 13:09:21	14.55,53.01,15.90,60.00,14.80,61.20,14.50,12.67,16.04,12.84,342,3
2021-01-11 13:09:37	14.56,52.70,15.90,60.00,14.80,61.30,14.50,12.67,16.51,12.84,339,3
2021-01-11 13:09:53	14.55,53.63,15.90,60.00,14.80,61.30,14.56,12.67,16.51,12.84,337,3
2021-01-11 13:10:09	14.55,53.18,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,332,3
2021-01-11 13:10:25	14.55,52.70,15.90,60.00,14.80,61.30,14.56,12.67,16.51,12.84,326,3
2021-01-11 13:10:41	14.56,52.80,15.90,60.00,14.80,61.40,14.56,12.67,16.51,12.74,326,3
2021-01-11 13:10:57	14.56,52.87,15.90,60.00,14.80,61.30,14.50,12.67,16.51,12.74,325,3
2021-01-11 13:11:13	14.56,52.43,15.90,60.00,14.80,60.90,14.50,12.67,16.51,12.84,327,3
2021-01-11 13:11:29	14.55,52.96,15.90,60.00,14.80,60.90,14.50,12.67,16.51,12.84,333,3
2021-01-11 13:11:45	14.56,53.09,15.80,60.00,14.80,61.20,14.50,12.67,16.51,12.84,343,3
2021-01-11 13:12:01	14.55,52.94,15.90,60.00,14.70,61.10,14.50,12.67,16.04,12.84,353,3
2021-01-11 13:12:17	14.55,52.27,15.90,60.00,14.80,61.20,14.50,12.67,16.04,12.84,367,3
2021-01-11 13:12:33	14.56,52.99,15.90,60.00,14.80,61.30,14.50,12.67,16.51,12.74,375,3
2021-01-11 13:12:49	14.55,53.27,15.90,60.00,14.80,61.10,14.50,12.67,16.04,12.74,358,3
2021-01-11 13:13:05	14.56,53.33,15.90,60.00,14.80,60.90,14.50,12.67,16.51,12.74,366,3
2021-01-11 13:13:21	14.56,52.47,15.90,60.00,14.70,61.00,14.50,12.67,16.51,12.84,372,3
2021-01-11 13:13:37	14.56,52.99,15.90,60.00,14.80,61.10,14.50,12.67,16.04,12.84,371,3
2021-01-11 13:13:52	14.56,52.79,15.90,60.00,14.70,60.90,14.50,12.67,16.04,12.84,370,3
2021-01-11 13:14:08	14.56,52.34,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,375,3
2021-01-11 13:14:24	14.55,52.84,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.74,380,3
2021-01-11 13:14:40	14.56,52.88,15.90,60.00,14.70,60.90,14.50,12.67,16.04,12.74,383,3
2021-01-11 13:14:56	14.56,52.30,15.90,60.00,14.70,60.80,14.50,12.67,16.04,12.74,386,3
2021-01-11 13:15:12	14.55,52.94,15.90,60.00,14.80,61.00,14.50,12.67,16.04,12.84,391,3
2021-01-11 13:15:28	14.55,53.44,15.90,60.00,14.80,61.10,14.50,12.67,16.04,12.84,394,3
2021-01-11 13:15:44	14.56,53.04,15.90,60.00,14.70,61.00,14.50,12.67,16.51,12.84,396,3
2021-01-11 13:16:00	14.55,52.85,15.90,60.00,14.80,61.10,14.50,12.67,16.51,12.84,401,3
2021-01-11 13:16:16	14.56,52.62,15.80,60.00,14.80,61.20,14.50,12.67,16.51,12.84,405,3
2021-01-11 13:16:32	14.56,52.38,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,414,3
2021-01-11 13:16:48	14.56,52.61,15.90,60.00,14.80,61.20,14.50,12.67,16.04,12.84,418,3
2021-01-11 13:17:04	14.56,52.80,15.90,60.00,14.80,61.20,14.50,12.67,16.04,12.84,421,3
2021-01-11 13:17:20	14.57,53.09,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,423,3
2021-01-11 13:17:36	14.57,53.16,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,430,3
2021-01-11 13:17:52	14.57,53.03,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,486,3
2021-01-11 13:18:08	14.56,53.20,15.90,60.00,14.80,61.30,14.50,12.67,16.51,12.84,526,3
2021-01-11 13:18:24	14.57,53.08,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,530,3
2021-01-11 13:18:40	14.57,52.58,15.90,60.00,14.80,61.30,14.56,12.67,16.51,12.84,535,3
2021-01-11 13:18:55	14.57,53.35,15.90,60.00,14.80,61.30,14.56,12.67,16.51,12.84,530,3
2021-01-11 13:19:11	14.57,53.55,15.90,60.00,14.80,61.10,14.56,12.77,16.51,12.84,535,3
2021-01-11 13:19:27	14.57,52.86,15.90,60.00,14.80,61.10,14.56,12.67,16.51,12.84,500,3
2021-01-11 13:19:43	14.57,52.98,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,485,3
2021-01-11 13:19:59	14.57,53.08,15.90,60.00,14.80,61.10,14.56,12.67,16.51,12.93,500,3
2021-01-11 13:20:15	14.57,52.98,15.90,60.00,14.80,61.20,14.56,12.67,16.51,12.84,511,3
2021-01-11 13:20:31	14.57,53.01,15.90,60.00,14.80,61.20,14.56,12.67,16.04,12.84,560,3
2021-01-11 13:20:47	14.57,52.59,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,573,3
2021-01-11 13:21:03	14.58,52.85,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.93,576,3
2021-01-11 13:21:19	14.57,52.75,15.90,60.00,14.80,61.20,14.56,12.67,16.04,12.84,576,3
2021-01-11 13:21:35	14.57,52.60,15.90,60.00,14.80,61.00,14.56,12.67,16.51,12.84,568,3
2021-01-11 13:21:51	14.57,53.16,15.90,60.00,14.80,61.10,14.56,12.67,16.51,12.93,568,3
